packet_unit_id,coder_id,task_type,doc_id,sentence_id,sentence_text,span_text,span_char_start,span_char_end,mipvu_decision,cluster_id,source_domain,target_domain,entailments,fantasy_type,violence_logic,obligatory_frame,obligatory_frame_notes,absence_flags,absence_notes,confidence_score,ambiguity_flag,ambiguity_notes,rival_reading,coder_notes
stage4h_ident_00028,,sentence_identification,doc_010,doc_010_s01_p46_s05,"They have adopted a temporary national constitution, in the preamble of which, unlike our good old one, signed by Washington, they omit ``We, the People,'' and substitute ``We, the deputies of the sovereign and independent States.'' Why?",,,,,,,,,,,,,,,,,,,
stage4h_ident_00029,,sentence_identification,doc_010,doc_010_s01_p51_s01,Our popular government has often been called an experiment.,,,,,,,,,,,,,,,,,,,
stage4h_ident_00030,,sentence_identification,doc_010,doc_010_s01_p51_s02,"Two points in it, our people have already settled---the successful establishing, and the successful administering of it.",,,,,,,,,,,,,,,,,,,
stage4h_ident_00031,,sentence_identification,doc_010,doc_010_s01_p51_s03,One still remains---its successful maintenance against a formidable [internal] attempt to overthrow it.,,,,,,,,,,,,,,,,,,,
stage4h_ident_00032,,sentence_identification,doc_010,doc_010_s01_p51_s04,"It is now for them to demonstrate to the world, that those who can fairly carry an election, can also suppress a rebellion---that ballots are the rightful, and peaceful, successors of bullets; and that when ballots have fairly, and constitutionally, decided, there can be no successful appeal, back to bullets; that there can be no successful appeal, except to ballots themselves, at succeeding elections.",,,,,,,,,,,,,,,,,,,
stage4h_ident_00033,,sentence_identification,doc_010,doc_010_s01_p56_s01,"And having thus chosen our course, without guile, and with pure purpose, let us renew our trust in God, and go forward without fear, and with manly hearts.",,,,,,,,,,,,,,,,,,,
stage4h_ident_00034,,sentence_identification,doc_010,doc_010_s02_p03_s20,"No popular government can long survive a precedent, that those who have carried an election, must, on pain of death to the government itself, surrender the point upon which the people gave the election.''[117]   ``He,'' in the autograph pages of revision at the end of the first proof, changed to ``the Executive'' in second proof.[118]   ``In the justness of God'' as first written, revised to ``in God'' in the autograph pages of first proof.",,,,,,,,,,,,,,,,,,,
stage4h_ident_00035,,sentence_identification,doc_017,doc_017_s01_p01_s01,"Four score and seven years ago our fathers brought forth on this continent, a new nation, conceived in Liberty, and dedicated to the proposition that all men are created equal.",,,,,,,,,,,,,,,,,,,
stage4h_ident_00036,,sentence_identification,doc_017,doc_017_s01_p02_s01,"Now we are engaged in a great civil war, testing whether that nation, or any nation so conceived and so dedicated, can long endure.",,,,,,,,,,,,,,,,,,,
stage4h_ident_00037,,sentence_identification,doc_017,doc_017_s01_p02_s02,We are met on a great battle-field of that war.,,,,,,,,,,,,,,,,,,,
stage4h_ident_00038,,sentence_identification,doc_017,doc_017_s01_p02_s03,"We have come to dedicate a portion of that field, as a final resting place for those who here gave their lives that that nation might live.",,,,,,,,,,,,,,,,,,,
stage4h_ident_00039,,sentence_identification,doc_017,doc_017_s01_p02_s04,It is altogether fitting and proper that we should do this.,,,,,,,,,,,,,,,,,,,
stage4h_ident_00040,,sentence_identification,doc_017,doc_017_s01_p03_s01,"But, in a larger sense, we can not dedicate—we can not consecrate—we can not hallow—this ground.",,,,,,,,,,,,,,,,,,,
stage4h_ident_00041,,sentence_identification,doc_017,doc_017_s01_p03_s02,"The brave men, living and dead, who struggled here, have consecrated it, far above our poor power to add or detract.",,,,,,,,,,,,,,,,,,,
stage4h_ident_00042,,sentence_identification,doc_017,doc_017_s01_p03_s03,"The world will little note, nor long remember what we say here, but it can never forget what they did here.",,,,,,,,,,,,,,,,,,,
stage4h_ident_00043,,sentence_identification,doc_017,doc_017_s01_p03_s04,"It is for us the living, rather, to be dedicated here to the unfinished work which they who fought here have thus far so nobly advanced.",,,,,,,,,,,,,,,,,,,
stage4h_ident_00044,,sentence_identification,doc_017,doc_017_s01_p03_s05,"It is rather for us to be here dedicated to the great task remaining before us—that from these honored dead we take increased devotion to that cause for which they gave the last full measure of devotion—that we here highly resolve that these dead shall not have died in vain—that this nation, under God, shall have a new birth of freedom—and that government of the people, by the people, for the people, shall not perish from the earth.",,,,,,,,,,,,,,,,,,,
stage4h_ident_00045,,sentence_identification,doc_021,doc_021_s01_p01_s01,Fellow-Countrymen:,,,,,,,,,,,,,,,,,,,
stage4h_ident_00046,,sentence_identification,doc_021,doc_021_s01_p02_s03,"Now, at the expiration of four years, during which public declarations have been constantly called forth on every point and phase of the great contest which still absorbs the attention and engrosses the energies of the nation, little that is new could be presented.",,,,,,,,,,,,,,,,,,,
stage4h_ident_00047,,sentence_identification,doc_021,doc_021_s01_p03_s03,"While the inaugural address was being delivered from this place, devoted altogether to saving the Union without war, insurgent agents were in the city seeking to destroy it without war—seeking to dissolve the Union and divide effects by negotiation.",,,,,,,,,,,,,,,,,,,
stage4h_ident_00048,,sentence_identification,doc_021,doc_021_s01_p03_s04,"Both parties deprecated war, but one of them would make war rather than let the nation survive, and the other would accept war rather than let it perish, and the war came.",,,,,,,,,,,,,,,,,,,
stage4h_ident_00049,,sentence_identification,doc_021,doc_021_s01_p04_s02,These slaves constituted a peculiar and powerful interest.,,,,,,,,,,,,,,,,,,,
stage4h_ident_00050,,sentence_identification,doc_021,doc_021_s01_p04_s04,"To strengthen, perpetuate, and extend this interest was the object for which the insurgents would rend the Union even by war, while the Government claimed no right to do more than to restrict the territorial enlargement of it.",,,,,,,,,,,,,,,,,,,
stage4h_ident_00051,,sentence_identification,doc_021,doc_021_s01_p04_s11,That of neither has been answered fully.,,,,,,,,,,,,,,,,,,,
stage4h_ident_00052,,sentence_identification,doc_021,doc_021_s01_p04_s12,"The Almighty has His own purposes. ""Woe unto the world because of offenses; for it must needs be that offenses come, but woe to that man by whom the offense cometh."" If we shall suppose that American slavery is one of those offenses which, in the providence of God, must needs come, but which, having continued through His appointed time, He now wills to remove, and that He gives to both North and South this terrible war as the woe due to those by whom the offense came, shall we discern therein any departure from those divine attributes which the believers in a living God always ascribe to Him?",,,,,,,,,,,,,,,,,,,
stage4h_ident_00053,,sentence_identification,doc_021,doc_021_s01_p04_s13,"Fondly do we hope, fervently do we pray, that this mighty scourge of war may speedily pass away.",,,,,,,,,,,,,,,,,,,
stage4h_ident_00054,,sentence_identification,doc_021,doc_021_s01_p04_s14,"Yet, if God wills that it continue until all the wealth piled by the bondsman's two hundred and fifty years of unrequited toil shall be sunk, and until every drop of blood drawn with the lash shall be paid by another drawn with the sword, as was said three thousand years ago, so still it must be said ""the judgments of the Lord are true and righteous altogether.""",,,,,,,,,,,,,,,,,,,
stage4h_ident_00055,,sentence_identification,doc_021,doc_021_s01_p05_s01,"With malice toward none, with charity for all, with firmness in the right as God gives us to see the right, let us strive on to finish the work we are in, to bind up the nation's wounds, to care for him who shall have borne the battle and for his widow and his orphan, to do all which may achieve and cherish a just and lasting peace among ourselves and with all nations.",,,,,,,,,,,,,,,,,,,
stage4h_field_00001,,field_agreement,doc_001,doc_001_s01_p02_s03,"We, when mounting the stage of existence, found ourselves the legal inheritors of these fundamental blessings.",the legal inheritors of these fundamental blessings,58,109,,,,,,,,,,,,,,,,
