run_id,model_id,provider,model_name,model_version,run_date,operator,input_packet_id,input_packet_hash,prompt_hash,temperature,notes,task_type,doc_id,sentence_id,span_id,metaphor_present,lexical_unit,lexical_unit_start,lexical_unit_end,source_domain,target_domain,cluster_id,koenigsberg_function,violence_logic,obligatory_frame,agency_or_absence_flag,confidence,ambiguity_flag,rival_reading,justification
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_006g,doc_006g_s02_p38_s09,stage4m_unit_00018,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_006g,doc_006g_s02_p43_s05,stage4m_unit_00019,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_006g,doc_006g_s02_p44_s04,stage4m_unit_00020,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_006g,doc_006g_s02_p56_s07,stage4m_unit_00021,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_006g,doc_006g_s04_p01_s06,stage4m_unit_00022,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_010,doc_010_s01_p01_s01,stage4m_unit_00023,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_010,doc_010_s01_p16_s02,stage4m_unit_00024,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_010,doc_010_s01_p36_s03,stage4m_unit_00025,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_010,doc_010_s01_p36_s07,stage4m_unit_00026,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_010,doc_010_s01_p46_s04,stage4m_unit_00027,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_010,doc_010_s01_p46_s05,stage4m_unit_00028,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_010,doc_010_s01_p51_s01,stage4m_unit_00029,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_010,doc_010_s01_p51_s02,stage4m_unit_00030,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_010,doc_010_s01_p51_s03,stage4m_unit_00031,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_010,doc_010_s01_p51_s04,stage4m_unit_00032,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_010,doc_010_s01_p56_s01,stage4m_unit_00033,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_010,doc_010_s02_p03_s20,stage4m_unit_00034,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_017,doc_017_s01_p01_s01,stage4m_unit_00035,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_017,doc_017_s01_p02_s01,stage4m_unit_00036,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_017,doc_017_s01_p02_s02,stage4m_unit_00037,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_017,doc_017_s01_p02_s03,stage4m_unit_00038,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_017,doc_017_s01_p02_s04,stage4m_unit_00039,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_017,doc_017_s01_p03_s01,stage4m_unit_00040,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_017,doc_017_s01_p03_s02,stage4m_unit_00041,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_017,doc_017_s01_p03_s03,stage4m_unit_00042,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_017,doc_017_s01_p03_s04,stage4m_unit_00043,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_017,doc_017_s01_p03_s05,stage4m_unit_00044,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_021,doc_021_s01_p01_s01,stage4m_unit_00045,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_021,doc_021_s01_p02_s03,stage4m_unit_00046,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_021,doc_021_s01_p03_s03,stage4m_unit_00047,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_021,doc_021_s01_p03_s04,stage4m_unit_00048,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_021,doc_021_s01_p04_s02,stage4m_unit_00049,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_021,doc_021_s01_p04_s04,stage4m_unit_00050,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_021,doc_021_s01_p04_s11,stage4m_unit_00051,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_021,doc_021_s01_p04_s12,stage4m_unit_00052,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_021,doc_021_s01_p04_s13,stage4m_unit_00053,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_021,doc_021_s01_p04_s14,stage4m_unit_00054,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,sentence_identification,doc_021,doc_021_s01_p05_s01,stage4m_unit_00055,,,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,field_agreement,doc_001,doc_001_s01_p02_s03,stage4m_unit_00056,,the legal inheritors of these fundamental blessings,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,field_agreement,doc_001,doc_001_s01_p02_s04,stage4m_unit_00057,,"a legacy bequeathed us, by a _once_ hardy, brave, and patriotic, but _now_ lamented and departed race of ancestors",,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,field_agreement,doc_001,doc_001_s01_p04_s05,stage4m_unit_00058,,"live through all time, or die by suicide",,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,field_agreement,doc_001,doc_001_s01_p12_s03,stage4m_unit_00059,,trample on the blood of his father,,,,,,,,,,,,,
,,,,,,,stage4m_d45620cd10dd4be1,eeee9ecdc2f9ff04b8e07fcea415f25d56926f35c34a4f7365ba6e12813a3c04,999f4947f7bcd23fb3872101840c1bb442e13f54ead6db6d1494bac7c827b6fb,,,field_agreement,doc_001,doc_001_s01_p17_s06,stage4m_unit_00060,,"an undecided experiment; now, it is understood to be a successful one",,,,,,,,,,,,,
